Date,Close,High,Low,Open,Volume
2014-11-03,55.4871,56.5029,55.0157,56.1757,17608381
2014-11-04,54.6829,55.3214,54.11,55.3214,11389833
2014-11-05,54.34,55.4057,53.7702,55.0871,13645758
2014-11-06,54.7571,55.0471,53.9071,54.0143,9991933
2014-11-07,54.88,55.0357,54.1857,54.6714,9303980
2014-11-10,55.3243,55.6357,54.1429,54.7621,9711317
2014-11-11,54.65,56.3,54.5443,55.3057,14849177
2014-11-12,54.8371,55.1371,53.8635,54.4286,10958724
2014-11-13,54.2014,55.007,53.9321,54.9271,10490466
2014-11-14,55.1486,55.3171,54.0807,54.1971,10969035
2014-11-17,54.4486,55.6428,54.3929,55.0543,9225643
2014-11-18,54.4329,54.9857,54.3614,54.4457,7927178
2014-11-19,51.8714,55.2929,51.8086,54.7443,24515421
2014-11-20,52.5914,53.3229,51.5714,51.8314,15425431
2014-11-21,51.4686,53.3214,51.3571,53.2114,17877783
2014-11-24,50.9243,51.9226,50.7714,51.5143,17863909
2014-11-25,49.8557,50.3477,49.1429,50.1457,28100842
2014-11-26,50.1657,50.5271,49.7455,50.1543,10065321
2014-11-27,50.1657,50.1657,50.1657,50.1657,0
2014-11-28,49.5129,50.5714,49.4271,50.3934,6702255
2014-12-01,48.83,49.5714,48.2343,49.3371,11964673
2014-12-02,50.33,50.4771,48.6914,48.8,14271698
2014-12-03,50.7314,50.7314,49.1814,50.2214,13831902
2014-12-04,50.0857,51.1357,49.9086,50.42,11864713
2014-12-05,50.1314,50.6429,49.7329,50.0643,9929871
2014-12-08,48.4971,49.9829,48.29,49.9824,13628643
2014-12-09,49.1114,49.3371,47.0029,47.82,17994368
2014-12-10,47.76,49.2471,47.6657,49.1007,12674977
2014-12-11,47.8043,48.7,47.6557,48.0444,11771424
2014-12-12,47.7829,48.3229,46.98,47.45,13574519
2014-12-15,46.72,48.4186,46.6186,48.0386,12025545
2014-12-16,45.2057,47.07,45.1429,46.4271,16981174
2014-12-17,47.6643,47.8671,45.0772,45.3671,20193047
2014-12-18,47.7743,48.9286,47.2329,48.3143,15639365
2014-12-19,48.5886,48.72,47.6214,48.2143,15048061
2014-12-22,48.0971,49.24,47.7486,48.5429,8007650
2014-12-23,48.0614,48.4279,47.4729,48.3257,8307964
2014-12-24,48.8714,49.07,47.9986,48.14,5412407
2014-12-25,48.8714,48.8714,48.8714,48.8714,0
2014-12-26,48.5786,49.4842,48.5343,48.8929,8847447
2014-12-29,48.8471,49.1043,47.6529,47.9929,8608586
2014-12-30,49.0329,49.14,48.5389,48.5858,7011221
2014-12-31,48.8014,49.3914,48.7871,49.1129,8627773
2015-01-01,48.8014,48.8014,48.8014,48.8014,0
